profile,text,reactions,comments,shares,created_at,followers
Ualá,"En Ualá estamos creciendo en Argentina 🇦🇷, Colombia 🇨🇴 y México 🇲🇽, y buscamos personas con ganas de construir el mejor producto financiero. Contanos qué te inspira y explorá nuestras oportunidades en 👉 www.ua.la/sumate",193,23,23,10/08/2025,574098
Ualá,"hashtag
#Argentina 🇦🇷 La inteligencia artificial está cambiando cómo se diseñan productos, y en Ualá lo vivimos todos los días. Por eso, nos sumamos a AI Weekend Buenos Aires, un eventazo con más de 900 personas compartiendo ideas, soluciones y mucha inspiración.

Ahí, Chief Data & AI Officer y, Sr. Manager de Machine Learning dieron la charla “AI: What Really Matters?”, donde compartimos algunos de nuestros casos más relevantes:

📊 UaláScore, nuestro modelo de scoring propio
🤖 Uali, nuestra experiencia de atención potenciada por AI
🧠 Y varios modelos más que nos ayudan a construir un producto cada vez más personalizado

Gracias a toda la comunidad de AI Weekend por la energía, las charlas y las ganas de seguir creando. ¿Te interesa este mundo tanto como a nosotros? Acá te dejamos algunas búsquedas abiertas para sumarte al equipo de Data & AI 👇

🇦🇷 Data Platform Engineer →
🇦🇷 Data Scientist →",247,20,20,10/08/2025,574098
Ualá,"Fuimos anfitriones de un nuevo Meetup en nuestras oficinas en Argentina 🇦🇷, donde recibimos a la comunidad de KCD Argentina para conversar sobre lo mejor del mundo 
hashtag
#CloudNative. 💻☁️ 

🔍 Comparamos enfoques como
y
, y exploramos ventajas, desafíos y caminos posibles para su adopción.

⚙️ Desde microservicios hasta flujos complejos, aprendimos cómo estas tecnologías se complementan para crear entornos escalables, eficientes y flexibles en la nube.

🎙️ Con charlas de la mano de, CoFounder de; y Silvio Diaz, Lead DevOps Engineer de.

La jornada estuvo cargada de insights, experiencias reales y mucha data para llevarse. Además, no faltó el espacio de networking para seguir construyendo e intercambiando ideas. 🙌

🚀 ¿Te interesa trabajar con estas tecnologías? Postulate acá:

🛠️ Lead Database Reliability Engineer →
🛠️ DevOps Engineer →

🌐 Todas las búsquedas en",105,4,4,11/07/2025,574098
Ualá,"hashtag
#Argentina 🇦🇷 ¿Estás para manejar tu plata desde un solo lugar? 👉 Estás para Ualá.

Nuestra nueva campaña marca una etapa clave como banco en Argentina 🇦🇷, mostrando que todo lo que necesitás para tus finanzas está en una sola app:

🔥 ¿Estás para hacer rendir tu plata? → Tenemos la cuenta remunerada con la tasa más alta del mercado: hasta 40% TNA hoy.
💳 ¿Estás para pedir gratis una Tarjeta de Crédito? → No pagás costos de mantenimiento.
📈 ¿Estás para invertir fácil desde la app? → Podés comprar y vender dólares, hacer un plazo fijo, invertir en FCIs, acciones, bonos y CEDEARs.
🛒 ¿Estás para aprovechar promos GIGANTES y gastar menos? → Pagando con las tarjetas Ualá desde tu celu podés ahorrar todos los días.

Porque cuando se trata de manejar tu plata fácil, segura y en un solo lugar… estás para Ualá. 💙👉",89,0,10,09/09/2025,574098
Ualá,"En 
hashtag
#Colombia celebramos los cumpleaños del mes de una forma distinta: entre 🎳 bolos, strikes y risas.

Creamos un espacio para compartir un momento, desconectarnos un rato y seguir fortaleciendo lo más importante que tenemos 👉 el equipo. Eso que nos une más allá del trabajo y que construimos día a día. Porque sí, disfrutar el camino también hace parte de nuestra cultura. 🤗

¿Quieres sumarte a esta experiencia? Estas son nuestras búsquedas abiertas en Colombia:

💻 Lead Software Engineer →
⚙️ Mulesoft Software Engineer →
🛡️ Business Continuity Analyst →
💰 Treasury Analyst →
📊 Credit Policy Expert →

Todas las búsquedas en",170,4,4,11/06/2025,574098
Ualá,"hashtag
#México 🇲🇽 ¿Fácil o seguro? ✅ ¡Con Ualá tienes las dos! 

Como dice El Capi Pérez, la respuesta está en una Tarjeta de Crédito sin anualidad, con un límite de hasta $150,000 MXN. Disponible desde la app, para usar al instante.

💸 Hasta 15% de cashback al acumular $8,000 MXN de consumo mensual
🛍️ Meses sin intereses en comercios participantes
🎁 Promociones exclusivas desde la app

Porque somos un banco, pero fácil.

😎 ¿Te gustaría ser parte del equipo de Crédito en México? Tenemos estas vacantes:

🔹 Credit Specialist →
🔹 Business Analyst →
🔹 Collector →

🌐 Todas las posiciones en",55,0,7,10/08/2025,574098
Ualá,"📣 Martín Hansen, Director Regional de Growth & Loyalty, fue speaker en el Congreso Nacional de Mercadotecnia 2025 de Merca2.0 🇲🇽, uno de los eventos más relevantes del sector en toda América Latina.

En su charla “Transformación Digital Acelerada: Adaptando el Marketing a la Nueva Realidad”, compartió cómo las marcas pueden evolucionar en un entorno digital cada vez más dinámico, apoyándose en datos, tecnología y una mirada centrada en las personas.

En, trabajamos todos los días para liderar esta transformación en la industria financiera. La participación de Martín en este congreso refuerza nuestro compromiso con desarrollar experiencias que realmente marquen la diferencia.

👉 ¿Te gustaría formar parte de esta revolución? Conoce nuestras vacantes abiertas en Marketing:

🇦🇷 Partnerships Executive →
🇲🇽 Brand Analyst →
🇲🇽 Own Media Analyst →
🇲🇽 Marketing Insights & Analytics Analyst →

Todas las búsquedas en",154,5,5,11/06/2025,574098
Ualá,"hashtag
#Argentina 🇦🇷 Pierpaolo Barbieri, participó del programa de Esteban Trebucq en LA NACION Más para conversar sobre el impacto positivo de la desinflación en Argentina, la oportunidad de atraer inversiones y la importancia de construir un entorno favorable para quienes generan trabajo y apuestan por el país.

También charlaron sobre:

✅ La necesidad de una reforma laboral e impositiva que acompañe la creación de empleo formal
✅ El rol estratégico de la economía del conocimiento para el país
✅ El acceso gratuito a cuentas en dólares desdey su crecimiento desde su lanzamiento hace unos meses",383,18,18,10/08/2025,574098
Ualá,"En el mes de la amistad, celebramos algunas de las incorporaciones que se dieron en Ualá gracias a Ualá Match, nuestro programa de referidos.

Historias de confianza, admiración y ganas de volver a compartir equipo. Porque a veces el mejor fichaje… es esa persona con la que ya viviste grandes jugadas.

🤝 ¿Querés ser parte? 👇

Ingresá ay conocé las búsquedas abiertas para Argentina 🇦🇷, Colombia 🇨🇴 y México 🇲🇽.",128,4,4,10/08/2025,574098
Ualá,"En Ualá estamos convencidos de que sólo el mejor equipo crea el mejor producto. Pero eso no es todo: también se construyen amistades que trascienden el trabajo.

Hoy celebramos esos vínculos que nacen entre pasillos, almuerzos, proyectos y desafíos compartidos. 🥳 Y para homenajearlos, armamos un after como más nos gusta: con juegos, picadas y muy buena compañía.

Nos quedó un álbum de fotos espectacular que lo dice todo 📸 👇 ¿Y si la próxima te sumás vos también? 👉",316,11,11,10/08/2025,574098
Ualá,"🇦🇷 Emprender desde un pueblo, sin local, y llegar a todo el país 💪

Mariana lo hizo posible. Creó 
hashtag
#buda desde cero, venciendo miedos, inseguridades y obstáculos reales.

Hoy no sólo vende online, sino que construyó una comunidad que elige llevar un buda como quien elige estar cómoda y canchera.

Esta historia es una prueba de que no hace falta hacerlo sola. Cuando tenés
, todo se vuelve posible. 🙌

🛍️ Conocé buda acá 👉
🚀 ¿Sos emprendedor y querés armar tu tienda online? 👉",65,0,1,09/10/2025,574098
Ualá,"🇦🇷 Ya podés pagar ARCA desde la app

Ahora podés pagar tu monotributo, autónomo o VEP directamente desde la app. Fácil, rápido y en un solo lugar. 🚀

👉 ¿Cómo hacerlo?

Ingresá a Servicios > Pagar servicios
Seleccioná ARCA
Elegí el impuesto que querés pagar
Completá los datos solicitados
Confirmá… ¡y listo!

Una mejora que hicimos posible junto a, para seguir simplificando la forma en la que gestionás tus finanzas.

Estás para hacerla fácil. 👉 Estás para.",79,1,1,09/10/2025,574098
