username,text,likes,retweets,replies,views,created_at
brubankarg,"¡Hey BRuud!
Ruud van Nistelrooy presente en el Palco Brubank viendo el clásico entre San Lorenzo y Huracán. 

#VamosCiclón
+=",36,3,21,12000,2023-09-30T19:58:41.000Z
brubankarg,"¡Últimos días para que florezca tu billetera !

¡Ya casi sorteamos 5 premios de $100.000 y uno puede tener tu nombre! Comprá con QR, sumá chances y que tu suerte sea igual de linda que el clima ",12,0,23,7000,2023-09-27T20:49:54.000Z
brubankarg,"¿Qué te da ganas de hacer con este clima?  Ganar un sorteo seguro que sí. Eso siempre.

¡Comprá con QR para sumar chances y ganar uno de los 5 sorteos de $100.000 que hacemos! Tenés tiempo hasta el 28/09 de acumular chances 

#Dato: Actualizá la app para poder acceder",10,1,30,8000,2023-09-18T16:51:29.000Z
brubankarg,"Sobreviviste al lunes así que desde HOY se arranca a cortar la semana ¿Y mañana? Se repite .

10% de descuento en Mi Barrio Hamburguesería pagando con tu tarjeta de débito Brubank. Sin tope .",8,0,94,14000,2023-09-05T20:20:45.000Z
brubankarg,"Que se vayan los deditos marcados en la pared.

Hasta el 11/09, tenés un 35% de descuento en pintureras REX con tu tarjeta de débito.

¡Sin tope!",12,0,30,11000,2023-09-04T16:26:27.000Z
brubankarg,"¡REGALAMOS $3.000.000 !

Ahora que tenemos tu atención… Es posta . Somos 3 millones así que festejamos regalando 3 millones.

Comprá con la de débito, girá y participá por uno de los 30 premios de $100.000. No te conviene quedarte afuera…

Términos y condiciones:",32,5,41,10000,2023-08-25T17:55:38.000Z
brubankarg,"Esto es arte  

¿Cuál es su preferida? Porque nosotros no podemos decidir cuál nos gusta más ",38,3,56,17000,2023-05-16T19:58:01.000Z
brubankarg,"Salidita a fin de mes? Siii rey 

Lunes y Viernes 20% OFF en Burger King. Paga con Brubank y girá la ruedita ",9,0,54,11000,2023-04-28T19:25:10.000Z
brubankarg,"Ya con tres millones de clientes en todo el país, 400 mil de ellos en Córdoba, 
@brubankarg
, fundado por el ex-CEO de Citi Juan Bruchou y el tecnológico cordobés Pablo Sánchez prepara nuevos productos para consolidar su posición en el mercado.",39,7,17,11000,2023-04-19T13:27:35.000Z
brubankarg,"A partir de hoy, también nos vestimos de rojo y acompañamos a DogosXV en sus tries 

La franquicia del Súper Rugby Américas 2023 nos recibe en las canchas cordobesas. 

Brubank, main sponsor de 
@DogosXV
. 

¿Queres saber más? 
lavoz.com.ar/deportes/rugby/ ",12,1,25,11000,2023-04-14T17:03:49.000Z
brubankarg,"¿Boca vs San Lorenzo? Ese si es un clásico 

El clásico de ir al banco ya fue. 

Bajate la app de Brubank y empezá a disfrutar ",32,2,48,20000,2023-04-12T18:15:19.000Z
brubankarg,"Reiniciando unos servicios, algunos usuarios afectados, otros no. En minutos estará solucionado.",36,6,63,15000,2023-04-10T14:52:05.000Z
brubankarg," St. Patrick’s day o día de San Patricio, llamalo como quieras pero con una cerveza fría en la mano 

Aprovecha el 10% de descuento en Craft Moments pagando con tu tarjeta VISA Brubank 

 Pedí tu cerveza favorita y festejá 

TyC: 
help.brubank.com/es/articles/65
…",9,0,49,12000,2023-03-17T19:10:02.000Z
brubankarg,"Con Brubank, nunca dejes de jugar 

Comprá y pagá en la plataforma que quieras con tu tarjeta débito Visa Brubank y seguí disfrutando 

Fácil, simple y rápido",78,2,56,24000,2023-03-13T20:41:12.000Z
brubankarg,"Los viernes se come hamburguesa 

Pedí tu combo favorito en Burger King, pagá con Brubank y recibí el 20% de reintegro en el momento o ganá hasta $50.000 

Comprá, girá y ganá ",42,2,23,17000,2023-03-10T22:00:00.000Z
brubankarg,Aprovechá los mejores beneficio con Brubank ,18,1,18,13000,2023-01-24T12:31:06.000Z
brubankarg," Brubank, el banco digital más grande del país, es el nuevo main sponsor de #SanLorenzo.

 ¡Bienvenido a Boedo!",765,85,137,72000,2023-01-09T18:56:53.000Z
brubankarg,"Porque queremos ser parte de este sentimiento único

Hoy, del azul y el rojo nace un sponsor. 

Brubank, sponsor oficial de 
@SanLorenzo",639,74,43,67000,2023-01-09T19:02:42.000Z
brubankarg,"Tenes miles de excusas para festejar…

Qué mejor haciéndolo con algo que te gusta. 

Pedilo con 30% OFF en Pedidos Ya y festejemos todos juntos ",21,1,86,14000,2022-12-22T20:12:39.000Z
brubankarg,"Esta navidad, compra tus regalos con beneficios exclusivos  

En la solapa de promociones vas a encontrar todos los descuentos que te están esperando 
Simplicity, Swatch, Style Store, VIAMO, Sweet, Alparamis, Mala peluquería, ¡y muchos más! 

Corré a comprar los regalos ",13,1,24,11000,2022-12-21T14:07:37.000Z
brubankarg,"¿Tenes que hacer las compras? 

¡Aprovechá el 20% OFF en Farmacity, Simplicity, Get the look y The food market y comprá todo lo que necesitás!

Entrá en la solapa de promociones y mirá todos los beneficios que tenemos para vos 
app.intercom.com/a/apps/tizf6wz
…",10,2,166,0,2022-12-02T16:12:52.000Z
brubankarg,"Pagá tus servicios vía Brubank y participá por $10.000

Volvió la ruedita que estabas esperando 

 Ingresá en servicios
 Seleccioná el servicio que tenes que pagar
 Pagá tu factura, recargá tu celular o tu sube
 Girá la ruedita ¡Y ganá! 
help.brubank.com/es/articles/54
…",8,2,37,0,2022-12-01T19:35:11.000Z
brubankarg," ¡VAMOS ARGENTINA! 

Pasamos a 8vos y lo celebramos juntos 
¡8% de descuento en tus compras con QR para seguir festejando! 

 ¡Aguante corazón aguante!  Nos vemos en octavos 
help.brubank.com/es/articles/67
…",26,4,29,0,2022-11-30T21:30:00.000Z
brubankarg,"¿Sabías que ahora en Brubank podés escanear el QR que quieras?

¡Siiii! Abrí la app, escaneá el QR y ¡listo! 

 Fácil, rápido y sin contacto ",38,10,90,0,2022-06-03T17:47:11.000Z
brubankarg,"Hay ruedita, ¡hasta el viernes!  

Esta semana, tus compras con tarjeta Visa Brubank , participan por más de $4 MILLONES en premios 

¡Tenés 5 días para comprar, girar y ganar! 

 Ver términos y condiciones en 
brubank.com/promociones",22,1,89,0,2022-05-23T20:35:01.000Z
brubankarg,"¡Esto recién empieza! 

Hace poco más de 3 años lanzamos Brubank con el propósito de bancarizar a todos los argentinos, ¡y lo estamos logrando!

Ya somos más de 2.500.000 de brubankers que eligen hacer todo de una forma más simple, rápida y transparente. 

¡Muchas gracias! ",167,11,177,0,2022-05-11T19:13:26.000Z
brubankarg,"Brubank y 
@TECHOarg
 unidos por una Argentina más justa y sin pobreza 

Por una semana, te invitamos a sumarte a donar a la colecta anual de TECHO, y por cada $1 donado, Brubank dona otro $1 

 Encontrá a la organización en nuestra app en la sección Servicios ",19,4,68,0,2022-05-06T17:42:43.000Z
brubankarg,"En tu casa, el colectivo, en la fila del super o en una galaxia muy muy lejana, brubankeá y que la fuerza te acompañe.

#MayThe4thBeWithYou",32,2,38,0,2022-05-04T19:53:52.000Z
brubankarg,"¡Nos unimos con 
@modulosanitario
 en el Día mundial de la Salud!

Te invitamos a donar para que acompañes a mejorar la calidad de vida de cada vez más familias.

Y por cada $1 que dones, ¡Brubank dona otro $1!

 Buscá a Módulo Sanitario en la app en la sección Servicios.",16,3,80,0,2022-04-07T18:12:42.000Z
brubankarg,"Ya podés pagar TODOS tus servicios desde la app y participar por premios instantáneos 

¿Qué servicios te quedan por pagar?",21,0,48,0,2022-04-04T20:53:51.000Z
brubankarg,"Un banco 24/7 que está con vos todos los días del año 

En estas fiestas, brubankeá las 24hs del día.

¡Feliz Navidad a todos! ",42,1,50,0,2021-12-23T21:52:37.000Z
brubankarg,"¡Esta Navidad nos unimos con 
@CaritasAR
! 

Durante una semana, te invitamos a donar una caja navideña 
¿Y lo mejor? Por cada $1 que dones, ¡Brubank dona otro $1! 

¡Toda ayuda es bienvenida!

 Buscá a Cáritas Argentina en la app en la sección Servicios.",24,3,13,0,2021-12-17T17:54:26.000Z
