username,text,likes,retweets,replies,views,created_at,best_trend,trend_similarity,best_trend_position
uala_arg,"Si el paseo del sábado incluye ir a Farmacity, no te olvides que con las Tarjetas de Ualá tenés 25% de reintegro  .
Aplica TyC.",7,0,8,3000,2025-06-21T14:01:39.000Z,,0.0,
uala_arg,"Queremos avisarte sobre la existencia de un juicio que inició la Asociación Protección Consumidores del Mercado Común del Sur (en adelante la “Asociación”) contra Ualá.
¿Cómo saber si estoy incluido en la demanda? Formas parte de los consumidores representados por la Asociación",0,0,1,3000,2025-06-21T06:01:17.000Z,,0.0,
uala_arg,"¿Feriado y querés comer algo rico?
30% de reintegro en McDonalds con las tarjetas de Ualá pagando con el celu.

Aplica TyC.",6,0,2,2000,2025-06-20T11:01:45.000Z,,0.0,
uala_arg,"Queremos avisarte sobre la existencia de un juicio que inició la Asociación Protección Consumidores del Mercado Común del Sur (en adelante la “Asociación”) contra Ualá.
¿Cómo saber si estoy incluido en la demanda? Formas parte de los consumidores representados por la Asociación",1,0,0,2000,2025-06-20T06:01:23.000Z,,0.0,
uala_arg,"¡Si! Con Ualá tenés hasta 100% de reintegro en tus viajes en subte todos los días. Te devolvemos hasta $20.000 por usuario.
Pagá con tu Tarjeta de Crédito o Prepaga desde tu celu ¡y listo! Hacelo ahora y empezá a ahorrar 

Aplica TyC",5,1,2,3000,2025-06-19T12:20:31.000Z,,0.0,
uala_arg,"¿Después del finde largo quedó vacía la heladera? Tranqui, tenés promos en Disco, Jumbo y Vea  con Ualá:
- 25% de reintegro pagando con la Tarjeta Prepaga desde el celu.
- 15% de reintegro pagando con la Tarjeta de Crédito o Prepaga.",3,0,5,3000,2025-06-17T13:05:36.000Z,,0.0,
uala_arg,"Queremos avisarte sobre la existencia de un juicio que inició la Asociación Protección Consumidores del Mercado Común del Sur (en adelante la “Asociación”) contra Ualá.
¿Cómo saber si estoy incluido en la demanda? Formas parte de los consumidores representados por la Asociación",17,1,11,6000,2025-06-17T06:01:08.000Z,,0.0,
uala_arg,"Queremos avisarte sobre la existencia de un juicio que inició la Asociación Protección Consumidores del Mercado Común del Sur (en adelante la “Asociación”) contra Ualá.
¿Cómo saber si estoy incluido en la demanda? Formas parte de los consumidores representados por la Asociación",19,3,12,11000,2025-06-16T06:00:59.000Z,,0.0,
uala_arg,"Dejá de sentir vergüenza por compartir tu alias…
Conocé cómo cambiarlo desde la app, al toque y sin tener que escribirle al chat. ¡Si, también podés cambiar el de tu Cuenta en Dólares!
Sé quien quieras ser (pero con un alias piola y que te acuerdes) ",22,0,17,3000,2025-06-12T19:14:13.000Z,,0.0,
uala_arg,"Team verano, este podés ser vos si aprovechás el canje de puntos Ualá+ por millas Smiles ",4,0,5,2000,2025-06-12T14:12:30.000Z,,0.0,
