profile,text,reactions,comments,shares,created_at,followers
Nu,"O Nubank lançou o Recomeço, sua maior campanha de renegociação de dívidas e saúde financeira. Ainda em abril, a companhia começou a disponibilizar o Crédito do Trabalhador e a oferecer a ferramenta NuScore, que permite verificar a nota de crédito diretamente no app.

Na NuHeadlines deste mês, você encontra mais informações sobre os anúncios do mês, incluindo a aprovação da licença bancária do Nu México para operar como banco no país.",1102,40,40,14/05/2025,5820091
Nu,"Vem aí mais uma edição do nosso Meetup de Data Science & Machine Learning!

No dia 06 de maio, daremos continuidade à nossa incrível jornada de meetups no Nubank, trazendo mais conhecimento sobre inteligência artificial.

Para este evento especial, convidamos Cristiano Breuel, Gerente Sênior de IA no Nubank, para compartilhar insights valiosos sobre um dos temas mais impactantes da atualidade: Foundation Models.

Se você quer entender como esses modelos estão transformando o futuro dos serviços financeiros e descobrir como o Nubank está desenvolvendo Foundation Models proprietários, este evento é para você!

Marque nos comentários aquela pessoa que não pode perder essa conversa! 👇",218,13,13,14/05/2025,5820091
Nu,"Falta menos de uma semana para a Clojure South 2025!

No dia 6 de outubro teremos workshops, e no dia 7 o evento será inteiramente dedicado a palestras com especialistas nacionais e internacionais em Clojure, ClojureScript e Datomic.

A programação completa já está no site, incluindo sessões como “12 Years of Component”, “Joy of Data”, “Clojure e IA” e “NuFileBox Reverse”, todas com tradução simultânea (inglês, português e espanhol).

O evento será no escritório do Nubank, em São Paulo, na Vila Leopoldina.

Se você ainda não garantiu seu lugar, essa é sua última chance para participar do dia de palestras:",201,15,15,11/10/2025,5820091
Nu,"Diversificar seus investimentos não precisa ser complicado.

Os ETFs da Nu Asset, gestora de investimentos do Nubank, são uma forma simples e prática de investir na Bolsa de Valores.


Com um único produto você tem uma cesta de investimentos para construir uma carteira diversificada, sem complicação.

➡️ Conheça os ETFs da Nu Asset:",127,6,6,14/05/2025,5820091
Nu,"Tomar boas decisões financeiras pode ser mais simples do que parece.

Com as ferramentas certas, você investe com clareza e foco no que realmente importa: seus objetivos.

A, gestora de fundos de investimento do Nubank, criou o Simulador de Investimentos para facilitar esse caminho. Ele ajuda você a construir uma carteira personalizada, de acordo com seu perfil e seus objetivos.

➡️ Simule agora a sua Carteira de Investimentos com a Nu Asset:",130,8,8,14/05/2025,5820091
Nu,"Na vida profissional e financeira, confiança faz toda a diferença.

Assim como você não precisa ser especialista para tomar boas decisões no dia a dia, também não precisa dominar o mercado financeiro para investir de forma inteligente.

A, gestora de fundos de investimento do Nubank, foi criada para tornar esse caminho mais simples.

Com os produtos da Nu Asset, você investe de forma descomplicada, de acordo com seu perfil, com clareza e foco no que realmente importa: maximizar o valor do seu dinheiro.

Conheça os produtos para você:",218,4,4,14/04/2025,5820091
Nu,"Como evoluir na carreira de Engenharia de Software sem ser gerente?

A carreira técnica pode, e deve, ser tão desafiadora e recompensadora quanto a trilha de gestão — e é sobre isso que vamos conversar no nosso próximo Meetup com Bel Gonçalves, Principal Software Engineer no Nubank.

No papo, Bel vai compartilhar sobre sua trajetória até chegar a um dos cargos técnicos mais seniores da empresa, os dilemas e decisões entre carreira técnica versus gestão, além de comentar mais sobre a evolução da arquitetura do Nubank nos últimos anos.

📅 10 de Abril, das 19h às 20:30h
📍O evento será online. Confira todos os detalhes e inscreva-se através do link:

Se você está no caminho sênior da engenharia (ou quer chegar lá), esse meetup é pra você. 💜
Marque nos comentários aquela pessoa que não pode perder essa conversa!👇",384,17,17,14/04/2025,5820091
Nu,"O Nubank está na ICPC Programadores da América 2025!

Apoiamos a maior competição universitária de programação do mundo, onde algumas das mentes mais brilhantes da tecnologia se unem para resolver problemas complexos, assim como nosso foco aqui no Nu.

Através dessa parceria, a ICPC 2025 reforça ainda mais nosso compromisso em nos conectar com jovens talentos que transformam desafios em conquistas extraordinárias através de maratonas de programação como essa.",507,21,21,14/04/2025,5820091
Nu,"O Nubank é uma das empresas mais inovadoras do mundo!

Pelo quinto ano, o Nu é destaque na lista anual da Fast Company, que reconhece empresas que estão à frente em seus mercados, impulsionando soluções inovadoras e moldando o futuro.

Ficamos em 1º lugar na categoria Finanças e Finanças Pessoais, e no 3º lugar no ranking geral. Este ano, a revista destaca os produtos do Nu para clientes menores de 18 anos, como a conta, cartão de débito e Caixinhas.

Na NuHeadlines deste mês, você encontra mais informações sobre o reconhecimento, fica sabendo das vagas abertas no Brasil, México e Colômbia, e mais.",1210,50,50,14/04/2025,5820091
Nu,"Celebrando os Nubankers que, há mais de 10 anos, fazem o extraordinário acontecer.

Hoje, temos orgulho de compartilhar o nosso Programa de Reconhecimento de 10 anos, uma homenagem aos Nubankers que atingiram mais de dez anos conosco.
Convidamos alguns deles para compartilharem conosco um pouco mais do significado desse reconhecimento e dessa jornada inspiradora.

Conheça um pouco mais das histórias de quem, lá atrás, não teve medo de desafiar o convencional – e segue até hoje acreditando na nossa missão.",1292,69,69,13/06/2025,5820091
