following_username,following_name,count
@julian_kip,Julian @ 𝗞𝗜𝗣 ㊋⫸,1
@juansenjauregui,Juanse,1
@leocifelli,Leonardo Cifelli,1
@johacarradore,Johanna,1
@invertiramateur,Inversor Amateur,1
@itsvirchu,vir,1
@jaimemendezh,Jaime Méndez,1
@jeroveintidos,jero,1
@jmoralesbarbera,JM,1
@joacavanna,Joaquín Cavanna,1
@joaquinbrisuel1,joaquin brisuela,1
@jonbonjovi,Jon Bon Jovi,1
@juanigal_,Juan Igal,1
@josecarloscresp,José Carlos Crespo,1
@jpmarino79,Juan Pablo Marino,1
@juancahallak,Juan Carlos Hallak,1
@juancampanella,Juan José Campanella,1
@juancortese,Juan Cortese,1
@juancruzavila,Juan Cruz Avila,1
@juanenriqueUBA,Juan Enrique,1
@lautarodeIcampo,LACOBRAAA,1
@lexfridman,Lex Fridman,1
@nelsonbocaranda,Nelson Bocaranda Sardi.,1
@mileibarrial,El fenómeno barrial,1
@maxpugliese92,𝙈𝘼𝙓𝙄,1
@mdzol,MDZ Online,1
@melaniejoly,Mélanie Joly,1
@michaelroseroX,Michael Rosero,1
@micknojagger,C,1
@migoya,Martin Migoya,1
@miguelhotero,Miguel H Otero,1
@monitoreamos,Monitoreamos,1
@martinkabrhell,Martin Kabrhel,1
@morajozami,Mora Jozami,1
@morenoparalavic,Guillermo Moreno,1
@mouaixa,Aixa,1
@nadia_lucero19,NaniLucero.21,1
@nahuutwm,Nahu,1
@napoleonbravo,Napoleón Bravo,1
@nazanunezp,Naza Nuñez,1
@maximmontenegro,Maxi Montenegro,1
@martindardik,trinche,1
@leyresaenz21,Leyre Sáenz Guillén,1
@lucasllach,lucas llach,1
@liberaldeantoo,antonio,1
@liberyprogre,Fundación Libertad y Progreso,1
@lola98__,Lola,1
@losprimerostuc,Los Primeros TV,1
@lospumas,Los Pumas,1
@lourdesgimeneez,Lourdes.,1
@luadorf,Lua,1
@luflorescba,Luciana Flores,1
@mariettgaspar__,fiffu,1
@lulalevy,Lula Levy,1
@lv7radiotucuman,LV7 Radio Tucumán,1
@maibortpetit,Maibort Petit,1
@majulluis,Luis Majul,1
@malerazo__,мalĸa,1
@marcogammino8D,MARCO ★★★,1
@marcos_galperin,Marcos Galperin,1
@astrobort,astrobort,1
@_crisenberg_,cris,1
@ariwenge,Ariel Wengerowsky,1
@Esquizonomics,Gringo Bonazzola,1
@ExcelHumor,memes.xlsx,1
@EzeJacof,Ezee,1
@F1,Formula 1,1
@FaacuMartin,Facu,1
@FabianWaldman,Fabian Waldman,1
@FactosConAdrian,Adrian Ackerman,1
@Fati64523386,Fa,1
@FatimaLemir,Faturri,1
@Fede_1891_C,Fedee Camacho,1
@Federic88189334,Federico Villalba,1
@FelipePigna,Felipe Pigna,1
@FiveThirtyEight,FiveThirtyEight,1
@Flantasma1,flantasma,1
@Flooravilez,Flori fali fru·,1
@Flor_de_P,Florencia Peña,1
@Flordelav,Flor De La Ve,1
@FoxNews,Fox News,1
@EstebanPaulon,Esteban Paulón,1
@EnzoRuarte4,Enzo,1
@FranFijap,Fran Fijap,1
@EmilioSLozano,Emilio Sánchez Lozano,1
@Econ_jobs_,Econ Job News,1
@EconomiaMises,Mises,1
@Edi_hermida,Edith Hermida,1
@EfectoCocuyo,Efecto Cocuyo,1
@ElEconomista_,El Economista,1
@ElNacionalWeb,El Nacional,1
@ElOtroValentin,Valentín Canale,1
@ElPelucaMilei,El Peluca Milei,1
@ElPitazoTV,El Pitazo,1
@ElPulsoEc,Pulso,1
@El_Gran_Cala,EL GRAN Cala,1
@El_Hormiguero,El Hormiguero,1
@EleonoraGutie12,Eleonora,1
@EliTrotta,Elisa Trotta,1
@EmanuelGaitan18,Emanuel.,1
@EmanuelPortill7,Emanuel Portillo,1
@EmiliaGC__,emi •,1
@FranColapinto,Franco Colapinto,1
@Franco_G03,Franco Guerrero,1
@LeonasARGHockey,LasLeonasHockeyARG,1
@IdaniaChirinos,Idania Chirinos,1
@Irys70,Irene,1
@Jeffers05879522,carlos,1
@JorgeGiacobbe,Jorge Giacobbe,1
@Jorge__Mas,Jorge Mas,1
@JoseLuisDazaAR,Jose Luis Daza,1
@Josefinastrs,JoseCAT,1
@JulioVillalb105,Julio Villalba,1
@KITUPI,Kitupi,1
@Kicillofok,Axel Kicillof,1
@Kicker0024,Santiago Bausili,1
@LATAM_BRA,LATAM Airlines Brasil,1
@LG_RDT,LG_RDT,1
@LLA_CABA,La Libertad Avanza CABA,1
@LaDoloresAgrup1,La Dolores,1
@LaGacetaTucuman,La Gaceta de Tucumán,1
@LeanZicca,Leandro Ziccarelli,1
